time_sn,ctrlong,ctrlatr,ax_m_s2,ay_m_s2,az_m_s2,p_rad_s,q_rad_s,r_rad_s,quat_e0,quat_ex,quat_ey,quat_ez,alpha_rad,beta_rad,tas_m_s,de_rad,dr_rad,da_rad,mass_kg,thrust_N,lat_rad,lon_rad,alt_m
35.22,1,1,0.273835125071251,-0.0065939417735465,-9.79966884687713,7.71835472084134e-05,5.79324377297295e-05,-0.000527828405487626,0.999445461079931,8.99574653059785e-05,0.0143511335182304,-0.030047164216323,0.0551678400705043,0.00104226889393108,25.0710824090376,-0.128927044728488,0,-0.0148131664690056,10.4988592274857,6.28422740057033,0.785541338498573,-2.12930939811671,972.981760666321
35.24,1,1,0.273861131178777,-0.0065943275065101,-9.79966793271456,7.70577649210195e-05,5.78184882189986e-05,-0.000527366258810509,0.99944529416194,9.06699186767314e-05,0.0143516892844755,-0.0300524482783345,0.0551689241471187,0.00104230228718417,25.0709332305215,-0.128935249859414,0,-0.0148132914990867,10.4988585914691,6.28432254111395,0.785541417069933,-2.12930940466405,972.968488935192
35.26,1,1,0.273887086459345,-0.00659471256487382,-9.79966701979108,7.69322079713594e-05,5.77047492442974e-05,-0.000526904950623864,0.99944512737044,9.13811480969682e-05,0.0143522439497843,-0.0300577277068381,0.0551700058189629,0.00104233562069696,25.0707843468586,-0.128943437125974,0,-0.0148134163127817,10.4988579554527,6.2844175441899,0.785541495640778,-2.12930941121252,972.955217315563
35.28,1,1,0.273912991014981,-0.00659509694989056,-9.79966610813408,7.68068759824746e-05,5.75912213461556e-05,-0.000526444479437972,0.999444960705225,9.2091155756809e-05,0.0143527975162012,-0.0300630025102409,0.0551710850909458,0.00104236889458087,25.0706357574754,-0.128951606564741,0,-0.0148135409105398,10.4988573194366,6.28451241006286,0.785541574211107,-2.12930941776212,972.941945807353
35.3,1,1,0.273938844947514,-0.0065954806628095,-9.79966519777079,7.66817685772819e-05,5.74779049997752e-05,-0.000525984843765585,0.999444794166091,9.27999438429852e-05,0.0143533499857758,-0.0300682726969353,0.0551721619679615,0.0010424021089471,25.0704874617993,-0.128959758211811,0,-0.0148136652928102,10.4988566834209,6.28460713899712,0.785541652780923,-2.12930942431285,972.92867441048
35.32,1,1,0.273964648358429,-0.00659586370487718,-9.79966428872739,7.65568853786962e-05,5.73648006955386e-05,-0.000525526042121916,0.999444627752834,9.35075145388275e-05,0.0143539013605625,-0.0300735382752986,0.0551732364548889,0.00104243526390657,25.0703394592588,-0.128967892103629,0,-0.0148137894600404,10.4988560474054,6.28470173125653,0.785541731350226,-2.12930943086472,972.915403124862
35.34,1,1,0.273990401348992,-0.00659624607733802,-9.79966338102982,7.64322260102805e-05,5.72519089241491e-05,-0.000525068073024625,0.99944446146525,9.42138700242779e-05,0.0143544516426209,-0.0300787992536932,0.0551743085565931,0.00104246835956995,25.0701917492839,-0.128976008276351,0,-0.0148139134126759,10.4988554113901,6.28479618710445,0.785541809919016,-2.12930943741772,972.902131950417
35.36,1,1,0.274016104020253,-0.00659662778143251,-9.79966247470367,7.63077900954784e-05,5.71392301109917e-05,-0.000524610934993842,0.999444295303135,9.49190124758756e-05,0.0143550008340151,-0.0300840556404668,0.0551753782779243,0.00104250139604768,25.0700443313055,-0.128984106765802,0,-0.0148140371511624,10.4988547753752,6.28489050680391,0.785541888487295,-2.12930944397185,972.888860887064
35.38,1,1,0.274041756472952,-0.0065970088183991,-9.79966156977373,7.61835772575373e-05,5.70267647017283e-05,-0.000524154626552173,0.999444129266284,9.56229440667524e-05,0.0143555489368137,-0.0300893074439522,0.0551764456237183,0.00104253437344992,25.0698972047557,-0.128992187607978,0,-0.0148141606759431,10.4988541393605,6.28498469061745,0.785541967055063,-2.1293094505271,972.875589934721
35.4,1,1,0.274067358807589,-0.00659738918947324,-9.79966066626435,7.60595871204624e-05,5.69145131423349e-05,-0.000523699146224652,0.999443963354494,9.63256669666358e-05,0.0143560959530899,-0.0300945546724673,0.0551775105987968,0.00104256729188663,25.0697503690679,-0.129000250838757,0,-0.0148142839874606,10.4988535033461,6.28507873880718,0.785542045622323,-2.12930945708348,972.862319093306
